VISN,VISN Name,Facility Name,City,Station,ST,Station,Complexity,Risk Standardized Mortality Rate Pneumonia,Risk Standardized Mortality Rate Heart Failure,Risk Standardized Mortality Rate Acute Myocardial Infarction,Nosocomial Infections Ventilator Associated Infections,Nosocomial Infections Central Line Associated Bacteremia,DVT Mechanical Ventilation,DVT Medical ICU,OMELOS
1,VA New England Health Care System - VISN 1,VAMC/RO,Togus,402,ME,402,2,12.36,8.94,15.87,2.90,1.84,72.20,63.60,0.94
1,VA New England Health Care System - VISN 1,VAM/ROC,White River Junction,405,VT,405,2,11.66,9.00,13.05,0.00,2.16,76.70,77.60,-0.06
1,VA New England Health Care System - VISN 1,Edith N Rogers Memorial Veterans Hospital,Bedford,518,MA,518,3,,,,,,,,
1,VA New England Health Care System - VISN 1,"VA Boston HCS
W Roxbury, Brockton Jamaica Plns",West Roxbury,523,MA,523,1a,12.81,7.31,13.34,1.93,2.75,83.90,85.80,0.03
1,VA New England Health Care System - VISN 1,VAMC,Manchester,608,NH,608,3,,,,,,,,
1,VA New England Health Care System - VISN 1,VAMC,Northampton,631,MA,631,3,,,,,,,,
1,VA New England Health Care System - VISN 1,VAMC,Providence,650,RI,650,2,12.06,9.12,13.19,3.48,3.27,87.30,89.80,0.56
1,VA New England Health Care System - VISN 1,VA Connecticut HCS,West Haven,689,CT,689,1a,12.37,9.57,14.89,2.06,2.71,67.60,67.70,0.32
2,VA Healthcare Network Upstate New York - VISN 2,Samuel S. Stratton VAMC ,Albany,528,NY,528A8,2,13.10,10.79,13.64,5.33,1.84,91.20,66.00,-0.37
2,VA Healthcare Network Upstate New York - VISN 2,"VA Western New York HCS Buffalo, Batavia",Buffalo,528,NY,528,1b,13.15,10.07,13.65,5.09,5.90,73.10,85.40,-0.41
2,VA Healthcare Network Upstate New York - VISN 2,VAMC,Bath,528,NY,528A6,3,13.95,11.35,14.51,0.0,0.0,57.10,59.50,-0.36
2,VA Healthcare Network Upstate New York - VISN 2,VAMC,Canandaigua ,528,NY,528A5,3,,,,,,,,
2,VA Healthcare Network Upstate New York - VISN 2,VAMC,Syracuse,528,NY,528A7,1c,13.64,9.44,13.85,1.77,3.80,90.80,85.10,0.61
3,VA NY/NJ Veterans Healthcare Network - VISN 3,VAMC,Bronx ,526,NY,526,1c,11.56,11.17,13.62,4.02,0.51,62.50,61.80,0.34
3,VA NY/NJ Veterans Healthcare Network - VISN 3,VA New Jersey HCS,East Orange,561,NJ,561,1b,13.28,9.40,13.10,2.83,0.72,62.90,66.20,-0.22
3,VA NY/NJ Veterans Healthcare Network - VISN 3,"VA Hudson Valley HCS
Montrose, Castle Pt",Montrose,620,NY,620,3,12.92,10.75,13.71,,,,,
3,VA NY/NJ Veterans Healthcare Network - VISN 3,"VA NY Harbor HCS 
NY Harbor, Brooklyn",New York Harbor,630,NY,630,1a,13.84,7.44,13.74,1.79,0.93,75.86,72.31,0.29
3,VA NY/NJ Veterans Healthcare Network - VISN 3,VAMC,Northport,632,NY,632,2,13.04,8.24,14.40,0.00,1.01,83.80,87.20,0.33
4,VA Stars & Stripes Healthcare Network - VISN 4,VAM&RO,Wilmington,460,DE,460,2,12.03,9.85,14.34,3.15,4.24,71.40,76.50,-0.02
4,VA Stars & Stripes Healthcare Network - VISN 4,James E. Van Zandt VAMC,Altoona,503,PA,503,3,14.09,11.30,14.05,0.00,0.00,0.00,57.10,-0.93
4,VA Stars & Stripes Healthcare Network - VISN 4,VAMC,Butler,529,PA,529,3,,,,,,,,
4,VA Stars & Stripes Healthcare Network - VISN 4,Louis A. Johnson VAMC,Clarksburg,540,WV,540,2,11.76,8.99,14.67,0.00,0.00,81.00,47.60,0.37
4,VA Stars & Stripes Healthcare Network - VISN 4,VAMC,Coatesville,542,PA,542,3,12.52,10.04,,,,,,
4,VA Stars & Stripes Healthcare Network - VISN 4,VAMC,Erie,562,PA,562,3,12.90,9.57,14.58,0.00,0.00,81.80,78.40,-0.81
4,VA Stars & Stripes Healthcare Network - VISN 4,VAMC,Lebanon,595,PA,595,2,14.05,11.05,14.33,14.08,1.65,55.60,62.20,-0.23
4,VA Stars & Stripes Healthcare Network - VISN 4,VAMC,Philadelphia,642,PA,642,1b,12.53,8.38,13.05,9.80,5.69,64.70,64.80,0.74
4,VA Stars & Stripes Healthcare Network - VISN 4,"VA Pittsburgh HCS
Heinz, Univ Dr, Highld Dr",Pittsburgh,646,PA,646,1a,13.29,9.63,14.54,5.26,2.37,69.40,73.90,0.39
4,VA Stars & Stripes Healthcare Network - VISN 4,VAMC,Wilkes-Barre,693,PA,693,2,14.87,10.98,14.65,0.00,0.00,56.30,59.90,-0.69
5,VA Capitol Health Care Network - VISN 5,"VA Maryland HCS
Baltimore, Perry Pt",Baltimore,512,MD,512,1b,11.89,10.20,13.58,6.24,4.45,76.00,78.90,0.50
5,VA Capitol Health Care Network - VISN 5,VAMC,Martinsburg,613,WV,613,2,12.52,9.64,13.14,13.11,3.46,72.70,64.50,0.59
5,VA Capitol Health Care Network - VISN 5,VAMC,Washington,688,DC,688,1a,12.35,11.35,13.99,2.82,1.15,57.30,58.60,-0.44
6,VA Mid-Atlantic Health Care Network - VISN 6,VAMC,Beckley,517,WV,517,3,13.87,11.12,13.47,0.00,0.00,81.80,73.30,0.33
6,VA Mid-Atlantic Health Care Network - VISN 6,VAMC,Durham,558,NC,558,1a,12.80,9.23,13.13,5.30,5.38,63.60,67.30,0.05
6,VA Mid-Atlantic Health Care Network - VISN 6,VAMC,Fayetteville,565,NC,565,3,12.64,11.19,14.43,0.00,0.00,75.00,63.60,0.74
6,VA Mid-Atlantic Health Care Network - VISN 6,VAMC,Hampton,590,VA,590,2,12.49,9.40,13.88,3.06,2.41,68.00,58.20,0.42
6,VA Mid-Atlantic Health Care Network - VISN 6,VAMC,Asheville,637,NC,637,2,12.05,10.09,14.09,4.65,2.76,48.50,42.00,-0.46
6,VA Mid-Atlantic Health Care Network - VISN 6,H. Holmes McGuire VAMC,Richmond,652,VA,652,1a,14.38,10.01,14.28,4.31,4.11,61.40,71.20,-0.33
6,VA Mid-Atlantic Health Care Network - VISN 6,VAMC,Salem,658,VA,658,2,12.47,8.66,14.25,11.09,3.81,80.40,85.40,0.26
6,VA Mid-Atlantic Health Care Network - VISN 6,W.G. (Bill) Hefner VAMC,Salisbury,659,NC,659,2,13.37,10.22,14.00,0.00,4.98,90.90,78.20,-0.11
7,VA Southeast Network - VISN 7,VAMC,Atlanta,508,GA,508,1a,13.22,11.39,13.90,0.00,2.25,72.00,75.20,0.72
7,VA Southeast Network - VISN 7,VAMC,Augusta,509,GA,509,1a,13.83,12.88,14.35,8.07,6.99,81.70,73.00,0.63
7,VA Southeast Network - VISN 7,VAMC,Birmingham,521,AL,521,1b,13.15,8.66,13.69,3.08,5.32,62.10,69.70,0.46
7,VA Southeast Network - VISN 7,Ralph H. Johnson VAMC,Charleston,534,SC,534,1c,12.43,9.65,13.97,4.19,1.69,72.90,67.50,-0.24
